year,month,state,latitude,longitude,firespots,firespots2
2002,5,MARANHAO,-4.04145875,-46.39771,8,0.000210937
2002,5,MATO GROSSO,-12.22979756,-55.28488356,1433,0.037784106
2002,5,PARA,-6.333981667,-50.61111056,18,0.000474608
2002,5,RONDONIA,-12.507668,-60.058112,15,0.000395507
2002,5,TOCANTINS,-7.220668,-48.458666,5,0.000131836
2002,6,AMAZONAS,-8.011,-63.595334,5,0.000131836
2002,6,MARANHAO,-4.541666154,-47.38725115,26,0.000685546
2002,6,MATO GROSSO,-11.86317694,-55.45163286,5372,0.141644255
2002,6,PARA,-7.44927302,-50.84587497,149,0.003928703
2002,6,RONDONIA,-10.71650371,-62.40366189,143,0.0037705
2002,6,TOCANTINS,-7.221904286,-48.40071,7,0.00018457
2002,7,ACRE,-9.386197368,-69.23658342,76,0.002003902
2002,7,AMAPA,0.79211,-51.49189,3,7.91014E-05
2002,7,AMAZONAS,-6.005515975,-62.44678612,405,0.01067869
2002,7,MARANHAO,-3.645001667,-46.06610081,198,0.005220693
2002,7,MATO GROSSO,-11.13879209,-56.03338152,8408,0.22169488
2002,7,PARA,-5.797776211,-51.86362193,1982,0.052259664
2002,7,RONDONIA,-10.64377312,-62.76328488,995,0.0262353
2002,7,RORAIMA,3.529545455,-60.85109091,11,0.000290038
2002,7,TOCANTINS,-7.021370741,-48.47925852,27,0.000711913
2002,8,ACRE,-9.333059643,-69.36649259,1486,0.039181564
2002,8,AMAPA,1.2941468,-51.1629068,25,0.000659178
2002,8,AMAZONAS,-6.493709815,-63.17439598,2108,0.055581923
2002,8,MARANHAO,-3.661311252,-46.03865653,663,0.017481411
2002,8,MATO GROSSO,-10.64681907,-55.59112624,23642,0.623371829
2002,8,PARA,-7.272871772,-51.73722661,37926,1
2002,8,RONDONIA,-10.6593934,-62.77548819,7375,0.194457628
2002,8,RORAIMA,2.47619,-60.5290319,21,0.00055371
2002,8,TOCANTINS,-7.134860323,-48.57130735,434,0.011443337
2002,9,ACRE,-9.687542496,-68.92234112,5137,0.135447978
2002,9,AMAPA,1.266290711,-50.93202384,211,0.005563466
2002,9,AMAZONAS,-6.426118731,-63.8468335,3679,0.097004693
2002,9,MARANHAO,-3.702254684,-46.24492833,1298,0.034224543
2002,9,MATO GROSSO,-11.71614396,-56.02653086,23385,0.616595475
2002,9,PARA,-5.894362457,-50.45667281,22054,0.581500817
2002,9,RONDONIA,-11.00774344,-62.70207213,22133,0.583583821
2002,9,RORAIMA,3.419290153,-60.62842489,131,0.003454095
2002,9,TOCANTINS,-7.361618336,-48.64021778,1490,0.039287033
2002,10,ACRE,-9.814015713,-68.63090939,1129,0.029768497
2002,10,AMAPA,1.573743479,-51.22028264,894,0.02357222
2002,10,AMAZONAS,-4.605382072,-61.03530578,2297,0.060565311
2002,10,MARANHAO,-4.170686669,-46.23403047,4909,0.129436271
2002,10,MATO GROSSO,-12.29382794,-56.83962309,13177,0.347439751
2002,10,PARA,-4.161795736,-50.61192534,15718,0.414438644
2002,10,RONDONIA,-11.02798391,-62.77093874,7305,0.192611928
2002,10,RORAIMA,3.458257735,-60.54434744,309,0.008147445
2002,10,TOCANTINS,-6.485780034,-48.43861083,591,0.015582977
2002,11,ACRE,-10.04196516,-68.49623967,153,0.004034172
2002,11,AMAPA,0.893977793,-51.13994589,2148,0.056636608
2002,11,AMAZONAS,-3.498590201,-59.67883462,1395,0.036782155
2002,11,MARANHAO,-3.525172029,-45.85358089,9251,0.243922375
2002,11,MATO GROSSO,-12.7079371,-56.45948041,2851,0.075172705
2002,11,PARA,-2.821384254,-50.7783665,20777,0.547829985
2002,11,RONDONIA,-11.06359417,-62.79001852,1026,0.027052682
2002,11,RORAIMA,2.999768576,-60.42108799,288,0.007593735
2002,11,TOCANTINS,-6.489297857,-48.45792857,28,0.00073828
2002,12,ACRE,-9.497666667,-69.882,3,7.91014E-05
2002,12,AMAPA,0.555351693,-51.16257741,437,0.011522438
2002,12,AMAZONAS,-2.863771464,-60.16411064,280,0.007382798
2002,12,MARANHAO,-3.003344365,-45.82010404,4422,0.116595475
2002,12,MATO GROSSO,-12.36755318,-55.55496002,908,0.023941359
2002,12,PARA,-2.582711016,-49.99789962,7936,0.209249591
2002,12,RONDONIA,-11.689765,-62.65186877,122,0.003216791
2002,12,RORAIMA,1.900477942,-60.29447799,447,0.01178611
2002,12,TOCANTINS,-6.728524286,-48.59952357,14,0.00036914
2003,1,ACRE,-8.158642857,-71.77478571,14,0.00036914
2003,1,AMAPA,-0.297514286,-51.71122857,35,0.00092285
2003,1,AMAZONAS,-1.938385224,-63.47631926,379,0.009993145
2003,1,MARANHAO,-3.267873762,-46.0724703,404,0.010652323
2003,1,MATO GROSSO,-12.41411055,-55.14110218,597,0.01574118
2003,1,PARA,-2.619302083,-50.26369375,1440,0.037968676
2003,1,RONDONIA,-11.10795652,-63.49766667,69,0.001819332
2003,1,RORAIMA,1.809795007,-60.51604336,761,0.02006539
2003,1,TOCANTINS,-7.1002,-48.6262,5,0.000131836
2003,2,AMAZONAS,-0.802193798,-64.20937209,129,0.003401361
2003,2,MARANHAO,-4.881,-45.598,1,2.63671E-05
2003,2,MATO GROSSO,-12.4262828,-55.57710204,343,0.009043928
2003,2,PARA,-4.471565217,-51.74091304,23,0.000606444
2003,2,RONDONIA,-11.54671429,-63.001,14,0.00036914
2003,2,RORAIMA,1.852645343,-60.75509501,1063,0.028028266
2003,3,AMAPA,1.3802,-51.5178,5,0.000131836
2003,3,AMAZONAS,-1.531797872,-64.13525532,94,0.002478511
2003,3,MARANHAO,-3.7925,-45.9965,2,5.27343E-05
2003,3,MATO GROSSO,-12.5039533,-55.38921429,364,0.009597638
2003,3,PARA,-2.520571429,-51.58364286,28,0.00073828
2003,3,RONDONIA,-11.05483333,-62.10633333,12,0.000316406
2003,3,RORAIMA,2.446404441,-61.18197712,1486,0.039181564
2003,3,TOCANTINS,-6.421333333,-48.9385,6,0.000158203
2003,4,ACRE,-9.6902,-70.201,5,0.000131836
2003,4,AMAPA,1.242666667,-50.76366667,3,7.91014E-05
2003,4,AMAZONAS,-2.794952381,-62.47430952,42,0.00110742
2003,4,MARANHAO,-3.7715,-45.95266667,6,0.000158203
2003,4,MATO GROSSO,-12.39604027,-54.98058389,596,0.015714813
2003,4,PARA,-4.082642857,-49.53042857,14,0.00036914
2003,4,RONDONIA,-11.26633333,-62.54144444,18,0.000474608
2003,4,RORAIMA,2.713276836,-61.04946893,354,0.009333966
2003,5,ACRE,-9.949277778,-68.9,18,0.000474608
2003,5,AMAPA,-0.465,-51.853,1,2.63671E-05
2003,5,AMAZONAS,-5.5855,-62.20541667,24,0.000632811
2003,5,MARANHAO,-3.095571429,-45.94317143,35,0.00092285
2003,5,MATO GROSSO,-12.24896496,-55.0346158,1684,0.044402257
2003,5,PARA,-3.352866071,-49.81558036,112,0.002953119
2003,5,RONDONIA,-11.25582353,-62.06282353,102,0.002689448
2003,5,RORAIMA,3.732166667,-61.03816667,6,0.000158203
2003,5,TOCANTINS,-8.102,-49.04,1,2.63671E-05
2003,6,ACRE,-9.366055556,-69.24088889,18,0.000474608
2003,6,AMAPA,0.882,-51.104,3,7.91014E-05
2003,6,AMAZONAS,-3.764138889,-60.065,36,0.000949217
2003,6,MARANHAO,-3.18075,-45.97265789,76,0.002003902
2003,6,MATO GROSSO,-12.0709893,-55.27324736,6072,0.16010125
2003,6,PARA,-4.028275434,-49.53986352,403,0.010625956
2003,6,RONDONIA,-11.88859825,-61.76521397,229,0.006038074
2003,6,RORAIMA,3.112,-61.13625,4,0.000105469
2003,6,TOCANTINS,-7.789142857,-48.42585714,7,0.00018457
2003,7,ACRE,-9.594758782,-68.74016159,427,0.011258767
2003,7,AMAPA,0.245,-50.964,1,2.63671E-05
2003,7,AMAZONAS,-6.931508397,-62.88119389,655,0.017270474
2003,7,MARANHAO,-3.887446903,-45.99480973,226,0.005958973
2003,7,MATO GROSSO,-11.33250795,-56.0685276,9058,0.238833518
2003,7,PARA,-6.148513372,-52.45076534,3814,0.100564257
2003,7,RONDONIA,-10.87772445,-62.71935146,1673,0.044112219
2003,7,TOCANTINS,-7.212953125,-48.43775,64,0.001687497
2003,8,ACRE,-9.530148593,-68.89687923,3163,0.083399251
2003,8,AMAPA,1.086,-51.21728571,21,0.00055371
